fecha,hora,destino,compañia,tipo_vuelo,tipo_avion,registro,id_aeronave,total_ocupantes,pasajeros_a_bordo,tripulacion_a_bordo,fallecidos,pasajeros_fallecidos,tripulacion_fallecida,fallecidos_en_tierra,resumen,pais,anio,mes,categoria,sobrevivientes
1926-07-09,09:30,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,2.0,1.0,1.0,2.0,1.0,1.0,0.0,Crashed into the ground while descending in poor weather.,Belgium,1926,7,collision,0.0
1926-10-02,15:27,"Leigh, Kent, Unied Kingdom",Air Union,Paris - London,Bleriot 155,F- AICQ,1,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..",sin dato,1926,10,collision,0.0
1926-10-21,13:15,English Channel,Imperial Airways,Croydon - Paris,Handley Page W-10,G-EBMS,W10/3,12.0,10.0,2.0,0.0,0.0,0.0,0.0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",sin dato,1926,10,other cause,12.0
1926-11-11,08:00,"Cape Bojador, Morocco",Grands Express Aeriens,Casablanca -Dakar,Breguet 14,F-AFAX,198,3.0,3.0,0.0,3.0,3.0,0.0,0.0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.",Morocco,1926,11,fire,0.0
1927-08-22,08:30,"Sevenoaks, England",KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,"H-NADUH-NADU",4993,11.0,9.0,2.0,1.0,0.0,1.0,0.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",England,1927,8,collision,10.0
1927-09-17,04:05,Atlantic Ocean,Private,Old Orchad Beach - Rome,Fokker F7,NX703,4899/0501,3.0,1.0,2.0,3.0,1.0,2.0,0.0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.",sin dato,1927,9,collision,0.0
1927-09-23,10:00,"Schleiz, Germany",Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,D-585,075,6.0,4.0,2.0,6.0,4.0,2.0,0.0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.,Germany,1927,9,collision,0.0
1928-07-24,14:48,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Sightseeing over Rotterdam,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),6.0,5.0,1.0,1.0,1.0,0.0,0.0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.",Netherlands,1928,7,collision,5.0
1928-08-25,11:00,"Near Port Townsend, BC, Canada",British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7.0,5.0,2.0,7.0,5.0,2.0,0.0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.,Canada,1928,8,collision,0.0
1928-09-02,09:15,"Toul, France",CIDNA,Toul - Clermont-Ferrand,Bleriot Spad 33,F-AIEP,5/4207,5.0,2.0,3.0,5.0,2.0,3.0,0.0,"After taking off the engine failed, the plane stalled and crashed.",France,1928,9,collision,0.0
1928-09-04,11:30,"Pocatello, Idaho",National Parks Airways,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,NC7242,809,7.0,6.0,1.0,7.0,6.0,1.0,0.0,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.",Idaho,1928,9,collision,0.0
1928-12-01,10:00,"Spur, Texas",Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,4-AT-47,5.0,4.0,1.0,5.0,4.0,1.0,0.0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.,Texas,1928,12,collision,0.0
1928-12-03,08:00,"Near Rio de Janeiro,Brazil",Syndicato Condor,Sightseeing,Dornier Wal,P-BACA,83,14.0,9.0,5.0,14.0,9.0,5.0,0.0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastic limits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",Brazil,1928,12,collision,0.0
1928-12-10,10:45,"Spokan, Washington",Spokane Airways,Colfax - Spokane,Ford Tri-motor 4,NC7687,4-AT-045,5.0,3.0,2.0,5.0,3.0,2.0,0.0,The aircraft crashed while attempting to land in fog.,Washington,1928,12,collision,0.0
1929-03-17,17:00,"Newark, New Jersey",Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,15.0,13.0,2.0,14.0,13.0,1.0,0.0,The plane was making the last of a number of sightseeing flights when two of it's three engines failed. The plane stalled and went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt.,sin dato,1929,3,collision,1.0
1929-03-30,09:18,"Near Beaumont, California",New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,617,4.0,3.0,1.0,4.0,3.0,1.0,0.0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",California,1929,3,collision,0.0
1929-04-21,11:45,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,4-AT-010,6.0,3.0,3.0,6.0,3.0,3.0,0.0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.",California,1929,4,collision,0.0
1929-06-13,08:00,"Santiago de Cuba, Cuba",Pan American Airways,Santiago de Cuba - Havana,Fokker F-X,NC9700,1010,5.0,1.0,4.0,2.0,1.0,1.0,0.0,"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed. The plane was named ""Christopher Columbus"".",Cuba,1929,6,collision,3.0
1929-06-17,11:30,"Off Dungeness, England",Imperial Airways,London - Paris - Basil - Zuric,Handley Page W-10,G-EBMT,W10/4,13.0,11.0,2.0,7.0,7.0,0.0,0.0,"The plane was over the English Channel, approximately 3 miles offshore, when an engine failed. The pilot attempted to return to the airport but the plane ditched into the English Channel. Failure of a connecting rod on a cylinder due to fatigue.The plane was named ""City of Ottawa.""",England,1929,6,other cause,6.0
1929-06-29,21:00,"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,sin dato,Domier Delphin III (flying boat),D-1620,151,5.0,4.0,1.0,5.0,4.0,1.0,0.0,The seaplane crashed into lake Constance while attempting to landing. The landing was hard and the plane broke in two and sank.,Germany,1929,6,collision,0.0
1929-09-03,11:01,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,NC9649,5-AT-002,8.0,5.0,3.0,8.0,5.0,3.0,0.0,"Shortly after departing the aircraft crashed into a Mt Taylor after encountering a thunderstorm and turbulence. The plane was named ""The City of San Francisco.""",sin dato,1929,9,collision,0.0
1929-09-14,18:00,"Saint Catharines, Ontario",Skyways,Sightseeing,Travel Air 6000,CF-ABE,1024,6.0,5.0,1.0,6.0,5.0,1.0,0.0,The aircraft went out of control and crashed for unknown reasons.,Ontario,1929,9,collision,0.0
1929-10-26,18:00,"Off Spezia, Italy",Imperial Airways,Naples - Genoa,Short Calcutta (flying boat),G-AADN,S748,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named ""City of Rome.""",Italy,1929,10,other cause,0.0
1929-11-04,07:00,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Matamoros - Mexico City - Juarez,Lockheed Vega 5,NC46M,097,4.0,3.0,1.0,4.0,3.0,1.0,0.0,The mail plane crashed in dense fog.,Mexico,1929,11,collision,0.0
1929-11-06,10:10,"Near Godstone, Surrey, England",Deutsche Lufthansa,Croyden - Amsterdam - Berlin,Junkers G-24,D-903,911,8.0,4.0,4.0,7.0,3.0,4.0,0.0,"After the plane's antenna wire struck the ground and was partially torn off, the pilot attempted to return to land but hit tree tops and crashed in rain and fog.",England,1929,11,collision,1.0
1929-11-16,09:35,"Off Corsica, France",Air Union,Marseille - Ajaccio - Tunis,Liore et Olivier 190,F-AIGB,1,3.0,0.0,3.0,3.0,0.0,3.0,0.0,"While flying along the Corsican coast, the aircraft crashed into the Mediterranean in fog. No trace of the plane was ever found.",France,1929,11,collision,0.0
1929-12-30,17:00,"Amarillo, Texas",Trans Continental Air Transport,Demonistration,Travel Air B6000,sin dato,sin dato,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Crashed onto a golf course  while on approach during a demonstration flight.,Texas,1929,12,collision,0.0
1930-01-19,18:23,"Oceanside, California",Maddux Airlines,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,NC9689,5-AT-046,16.0,14.0,2.0,16.0,14.0,2.0,0.0,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.",California,1930,1,collision,0.0
1930-01-27,17:30,"Kansas City, Missouri",Central  Airlines (Universal Aviation Corporation),"Wichita - Kansas City, KS",Travel Air A6000A,sin dato,963,5.0,4.0,1.0,5.0,4.0,1.0,0.0,"While preparing to land, the plane side slipped and dived into the ground from a height of 500 ft. and caught fire. As quickly as the bodies were removed, a hastily mustered crew of pilots and mechanics from Universal Airlines  and Central Airlines, began removing all evidence of the accident, savagely fighting off reporters and photographers as they worked.",Missouri,1930,1,fire,0.0
1930-04-18,17:00,"Jersey City, New Jersey",Canadian Colonial Airways,"Albany, NY - Jersey City, NJ",Fairchild 71,NC9148,634,4.0,3.0,1.0,4.0,3.0,1.0,0.0,Crashed into power lines 150 feet above the ground in fog.,sin dato,1930,4,collision,0.0
1930-07-21,15:00,"Near Meopham, Kent, England",Walcot Air Line,"London - Le touquet, France",Junkers F-13ge,G-AAZK,sin dato,6.0,4.0,2.0,6.0,4.0,2.0,0.0,The plane crashed about 10 miles from it's destination. Possible buffeting or irregular ocillation of the horizontal stabilizer leading to separation of the left stabilizer.,England,1930,7,collision,0.0
1930-08-22,15:45,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Prague - Bratislava,Ford 5-AT-C Tri Motor,OK-FOR,5-AT-050,11.0,10.0,1.0,10.0,9.0,1.0,0.0,Crashed when the pilot made a sharp turn to avoid a chimney and lost control of the aircraft.,Czechoslovakia,1930,8,collision,1.0
1930-10-06,09:45,"Dresden, Germany",Deutsche Lufthansa,Berlin - Vienna,Messerschmitt M-20B,D-1930,443,8.0,6.0,2.0,8.0,6.0,2.0,0.0,Crashed into hill while attempting to land after running into a strong gust of wind..,Germany,1930,10,collision,0.0
1930-11-18,20:00,"Techachapi Mountains, California",Pacific Air Transport,"Burbank, CA - Oakland, CA",Boeing 40,NC5340,sin dato,3.0,0.0,3.0,3.0,0.0,3.0,,"Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm.",California,1930,11,collision,0.0
1931-01-08,22:40,"Melle, Belgium",Sabena,Brussels - London,Fokker F-VII,OO-AIL,1930,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"After deciding to return to his base because of fog, the pilot of the mail plane  lowered his altitude and struck the ground.",Belgium,1931,1,other cause,0.0
1931-03-21,13:00,"New South Wales, Australia",Australian National Airways,Sydney - Melbourne,Avro 10,VH-UMF,241,8.0,6.0,2.0,8.0,6.0,2.0,0.0,Crashed in the Snowy Mountains in poor weather conditions. Wreckage found 10/26/1958.,Australia,1931,3,collision,0.0
1931-03-31,10:45,"Bazaar, Kansas",Trans Continental and Western Air,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,NC-999,1063,8.0,6.0,2.0,8.0,6.0,2.0,0.0,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed.",Kansas,1931,3,collision,0.0
1931-05-05,23:30,"Burbank, California",Pacific Air Transport,San Diego - Los Angeles,Boeing 40,NC5390,1044,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.,California,1931,5,collision,0.0
1931-05-24,22:30,"Bellefonte, Pennsylvania",National Air Transport,sin dato,Boeing 95,NC397E,1057,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed into a mountain and burned in poor visibility and icing conditions.,Pennsylvania,1931,5,collision,0.0
1931-06-07,09:00,"Near Sandoway, Burma",Air Orient,Saigon - Karachi,Fokker F-VIIB,PH-AEO,5096,4.0,0.0,4.0,4.0,0.0,4.0,0.0,Crashed into a trees and fell into a river 50 km south of Sandoway after experiencing engine trouble while attempting to land at Sandoway in poor visibility and monsoon conditions.,Burma,1931,6,collision,0.0
1931-08-09,08:40,"Cincinnati, Ohio",American Airways,Cincinnati - Atlanta,Ford 5-AT-C Tri Motor,NC9662,5AT-029,6.0,4.0,2.0,6.0,4.0,2.0,0.0,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.,Ohio,1931,8,collision,0.0
1931-09-14,20:00,"Chicago, Illinois",Chicago-Detroit Airways,sin dato,Lockheed Vega,NC606,056,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed in a severe rainstorm while attempting to land.,Illinois,1931,9,collision,0.0
1931-09-16,04:00,"Oakland, California",Pacific Air Transport,"Oakland, CA - Seattle, WA",Boeing 40,NC10347,1428,4.0,3.0,1.0,4.0,3.0,1.0,0.0,Crashed into San Francisco Bay shortly after taking off from Oakland airport.,California,1931,9,collision,0.0
1931-11-05,06:48,"Camden, New Jersey","NY, Phil., Washington AW","Newark, NJ  - Camden, NJ - Washington DC",Lockheed Orion 9,NC12221,178,5.0,4.0,1.0,5.0,4.0,1.0,0.0,Crashed  onto a golf course and burst into flames after circling the airport twice to land.,sin dato,1931,11,collision,0.0
1931-11-26,22:30,"Pasco, Washington",Varney Air Lines,"Portland,  OR - Pasco, WA",Boeing 40,NC10338,1419,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed in fog while attempting to land.,Washington,1931,11,collision,0.0
1931-12-06,05:45,"Bangkok, Thailand",KLM Royal Dutch Airlines,Djakarta - Amsterdam -  Bangkok - Rangoon (Burma),Fokker F-VIIb-3M,PH-AFO,5226,7.0,3.0,4.0,5.0,2.0,3.0,0.0,"Take off  was made with the  emergency hatch in cockpit roof open. This spoiled the lift and aircraft didn't become airborne.  At the end of the field, the aircraft crashed into a dam.",Thailand,1931,12,collision,2.0
1932-01-29,16:00,"Lebec, California",Century Pacific Lines,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,NC10813,5034,8.0,7.0,1.0,8.0,7.0,1.0,0.0,"Crashed into a canyon, in mountains, during a blizzard. Wreckage found a week later.",California,1932,1,collision,0.0
1932-03-08,02:00,"Saint Louis, Illinois",Century Air Lines,Training,Stinson SM-6000B,NC11122,5016,5.0,0.0,5.0,3.0,0.0,3.0,0.0,"Crashed into a skeleton of an old windmill, 500 yards from the edge of the field while practicing night landings.",Illinois,1932,3,collision,2.0
1932-03-19,19:30,"Calimesa, California",American Airways,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,NC652E,1027,7.0,5.0,2.0,7.0,5.0,2.0,0.0,The crew reduced altitude in foggy conditions to maintain visual contact with the ground. Crashed into an apple orchard after striking power lines. One survivor died the next day.,California,1932,3,collision,0.0
1932-05-30,12:00,"Portland, Oregon",Varney Air Lines,sin dato,Boeing 40,NC830M,1155,2.0,0.0,2.0,1.0,0.0,1.0,0.0,Crashed in a river after the engine exploded.,Oregon,1932,5,collision,1.0
1932-07-16,08:00,"Mount El Plomo, near Vitacura, Chile",Panagra,"Santiago, Chile - Mendosa, Argentina",Ford 5-AT-C Tri Motor,NC403H,5-AT-062,9.0,6.0,3.0,9.0,6.0,3.0,0.0,"The aircraft crashed in a severe snowstorm in the Andes Mountains.  The wreckage was buried by ice and snow and wasn’t found until March 22, 1934.",Chile,1932,7,collision,0.0
1932-08-31,00:10,"Tubergen, Germany",A B Aerotransport,Amsterdam - Hanover - Copenagen - Malmö,Junkers G-23,SE-AAE,836,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The crew radioed they had problems with engine 3. The crew lowered their altitude and attempted an emergency landing. In low visibility and at night they hit a chimney and crashed.,Germany,1932,8,collision,0.0
1932-09-08,09:00,"Salt Flats, Texas",American Airways,El Paso - Dallas,Fokker F-10,NC9716,1009,4.0,2.0,2.0,3.0,1.0,2.0,0.0,The mail plane struck a mountain and burned after encountering poor weather conditions.,Texas,1932,9,other cause,1.0
1932-09-17,06:00,"Selsdon Park, England",Air Union,sin dato,Liore-et-Olivier 213,F-AIFE,2,2.0,0.0,2.0,1.0,0.0,1.0,0.0,On approach to Croydon in fog and reduced visibility the plane crashed in a hotel parking lot.,England,1932,9,collision,1.0
1933-01-20,02:07,"Bourne, Texas",American Airways,Big Springs - San Antonio,Stearman 4,NC11721,4039,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The pilot of the mail plane lost his bearings and crashed into the hillside in poor visibility.,Texas,1933,1,collision,0.0
1933-03-25,20:07,"Hayward, California",Varney Airlines,Burbank - San Francisco,Lockheed Orion 9,NC12226,184,3.0,2.0,1.0,3.0,2.0,1.0,11.0,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination.",California,1933,3,collision,0.0
1933-03-28,14:30,"Near Dixmude, Belgium",Imperial Airways,"Cologne, Germany - Croydon, England",Armstrong Whitworth Argosy II,G-AACI,AW-363,15.0,12.0,3.0,15.0,12.0,3.0,0.0,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger, Dr. Voss,  in an attempt to commit suicide. The plane was named Cit y of Liverpool.",Belgium,1933,3,collision,0.0
1933-04-23,07:40,"Near Castrovillari, Calabria, Italy",Air Orient,Corfu - Naples,Cams 53-1,F-ALCE,29,8.0,5.0,3.0,5.0,2.0,3.0,0.0,Crashed into a mountain after encountering a mountain wave..,Italy,1933,4,collision,3.0
1933-05-09,15:00,"Near Viladrau, Spain",Aeropostale - La Tecoere Company,Paris - Morroco,Latecoere 28-1,F-AJIX,1701,6.0,3.0,3.0,6.0,3.0,3.0,0.0,Crashed after being forced down to the ground by strong downdrafts.,Spain,1933,5,collision,0.0
1933-06-04,03:15,"Bowling Green, Virginia",Eastern Air Transport,sin dato,Pitcairns PA-6,sin dato,sin dato,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane had engine faiure and crashed into a ravine.,Virginia,1933,6,collision,0.0
1933-06-11,17:00,"Glenview, Illinois",Palwaukee,Sightseeing,Sikorsky S-38B (flying boat),NC-141M,sin dato,9.0,7.0,2.0,9.0,7.0,2.0,0.0,"After attempting to land in lake Michigan the pilot encounter rough water and aborted the landing. While taking off the right wing separated from the plane due to the previous rough landing,",Illinois,1933,6,other cause,0.0
1933-07-18,15:40,Aegean Sea,Societa Anonima Aero Expresso Italiana,Athens - Rhodes,CMASA Wal (flying boat),I-AZEE,127,6.0,2.0,4.0,6.0,2.0,4.0,0.0,The float plane was forced to ditch in gale force winds. No trace of the plane or those onboard were ever found.,sin dato,1933,7,other cause,0.0
1933-08-29,01:00,"Quay, New Mexico",Trans Continental and Western Air,"Amarillo, TX - Albuquerque, NM",Ford 5-AT-B Tri Motor,NC9607,5-AT-005,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Crashed into a mountain slope  during a storm while attempting to make an emergency landing.,sin dato,1933,8,collision,0.0
1933-10-10,21:00,"Chesterton, Indiana",United Air Lines,Newark - Cleveland - Chicago - Oakland,Boeing 247,NC13304,1685,10.0,7.0,3.0,10.0,7.0,3.0,0.0,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. Eyewitnesses on the ground reported hearing an explosion shortly after 9 p.m., and told of seeing the plane in flames at an altitude of about 1,000 feet. A second explosion followed after the plane crashed.This was the first proven case of sabotage in the history of commercial aviation.",Indiana,1933,10,collision,0.0
1933-10-31,11:20,"Etobon, France",Air France,Zurich - Basel - Paris,Farman F-301,F-AJMI,04,5.0,2.0,3.0,2.0,1.0,1.0,0.0,sin dato,France,1933,10,other cause,3.0
1933-11-09,22:35,"Portland, Oregon",United Air Lines,"Seattle, WA - Dallas, TX",Boeing 247,NC13345,1772,10.0,7.0,3.0,4.0,3.0,1.0,,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.,Oregon,1933,11,collision,6.0
1933-12-11,16:00,"Hamburg, Germany",Deutsche Lufthansa,Berlin - Hamburg,Focke-Wulf A-17,D-1403,47,10.0,8.0,2.0,6.0,4.0,2.0,0.0,Crashed after striking an obstacle while landing in poor visibility and snow.,Germany,1933,12,collision,4.0
1933-12-30,13:00,"Near Ruysselede, Belgium",Imperial Airways,"Brussels, Belgium - Croydon, England",Avro 10,G-ABLU,528,10.0,8.0,2.0,10.0,8.0,2.0,0.0,Crashed  into a field in desnse fog after hitting a radio antenna tower which tore off a wing.,Belgium,1933,12,collision,0.0
1934-01-15,18:15,"Corbigny, France",Air France,Saigon - Paris,Dewoitine D-332,F-AMMY,01,14.0,10.0,4.0,14.0,10.0,4.0,0.0,"The aircraft crashed while en route in a severe snowstorm.  Icing. The aircraft was named ""Emeraude.""",France,1934,1,collision,0.0
1934-02-23,14:15,"Near Salt Lake City, Utah",Boeing Aircraft Company,Salt Lake City - Cheyenne,Boeing 247,NC13357,1739,8.0,5.0,3.0,8.0,5.0,3.0,0.0,"Crashed on top of Parley's Canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne. Pilot error. The crew failed to gain sufficient altitude to clear rapidly rising terrain.",Utah,1934,2,collision,0.0
1934-05-31,05:00,"Croydon, England",Air France,"Croydon, England - Paris, France",Liore-et-Olivier 213,F-AIVG,sin dato,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The cargo plane struck an aerial mast and crashed into houses while attempting to take off.,England,1934,5,collision,0.0
